,type,y,x,t,size
0,car0,39.8406,54.5062,0,1
1,car0,39.8406,54.5062,1,1
2,car0,39.8406,54.5062,2,1
3,car0,39.8406,54.5062,3,1
4,car0,39.8406,54.5062,4,1
5,car0,39.8407,54.5062,5,1
6,car0,60.1594,45.4938,6,1
7,car0,60.1595,45.4938,7,1
8,car0,39.8407,54.5062,8,1
9,car0,53.3347,53.942,9,1
10,car0,53.3347,53.942,10,1
11,car0,53.3348,53.942,11,1
12,car0,60.1595,45.4938,12,1
13,car0,39.8407,54.5062,13,1
14,car0,53.3347,53.942,14,1
15,car0,53.3347,53.942,15,1
16,car0,53.3348,53.942,16,1
17,car0,39.8407,54.5062,17,1
18,car0,53.3347,53.942,18,1
19,car0,53.3347,53.942,19,1
20,car0,53.3347,53.942,20,1
21,car0,53.3348,53.942,21,1
22,car0,39.8407,54.5062,22,1
23,car0,60.1594,45.4938,23,1
24,car0,60.1594,45.4938,24,1
25,car0,60.1595,45.4938,25,1
26,car0,39.8406,54.5062,26,1
27,car0,39.8407,54.5062,27,1
28,car0,53.3347,53.942,28,1
29,car0,53.3347,53.942,29,1
30,car0,53.3347,53.942,30,1
31,car1,53.3347,53.942,0,1
32,car1,53.3347,53.942,1,1
33,car1,53.3347,53.942,2,1
34,car1,53.3347,53.942,3,1
35,car1,53.3347,53.942,4,1
36,car1,53.3347,53.942,5,1
37,car1,53.3348,53.942,6,1
38,car1,39.8406,54.5062,7,1
39,car1,39.8406,54.5062,8,1
40,car1,39.8406,54.5062,9,1
41,car1,39.8407,54.5062,10,1
42,car1,60.1595,45.4938,11,1
43,car1,39.8407,54.5062,12,1
44,car1,60.1595,45.4938,13,1
45,car1,39.8407,54.5062,14,1
46,car1,60.1594,45.4938,15,1
47,car1,60.1594,45.4938,16,1
48,car1,60.1594,45.4938,17,1
49,car1,60.1594,45.4938,18,1
50,car1,60.1594,45.4938,19,1
51,car1,60.1594,45.4938,20,1
52,car1,60.1595,45.4938,21,1
53,car1,53.3347,53.942,22,1
54,car1,53.3348,53.942,23,1
55,car1,39.8406,54.5062,24,1
56,car1,39.8406,54.5062,25,1
57,car1,39.8406,54.5062,26,1
58,car1,39.8406,54.5062,27,1
59,car1,39.8406,54.5062,28,1
60,car1,39.8407,54.5062,29,1
61,car1,60.1594,45.4938,30,1
62,car2,53.3347,53.942,0,1
63,car2,53.3347,53.942,1,1
64,car2,53.3347,53.942,2,1
65,car2,53.3347,53.942,3,1
66,car2,53.3347,53.942,4,1
67,car2,53.3347,53.942,5,1
68,car2,53.3347,53.942,6,1
69,car2,53.3348,53.942,7,1
70,car2,60.1595,45.4938,8,1
71,car2,53.3347,53.942,9,1
72,car2,53.3347,53.942,10,1
73,car2,53.3347,53.942,11,1
74,car2,53.3348,53.942,12,1
75,car2,39.8406,54.5062,13,1
76,car2,39.8406,54.5062,14,1
77,car2,39.8407,54.5062,15,1
78,car2,53.3348,53.942,16,1
79,car2,39.8406,54.5062,17,1
80,car2,39.8406,54.5062,18,1
81,car2,39.8406,54.5062,19,1
82,car2,39.8407,54.5062,20,1
83,car2,53.3347,53.942,21,1
84,car2,53.3347,53.942,22,1
85,car2,53.3347,53.942,23,1
86,car2,53.3347,53.942,24,1
87,car2,53.3347,53.942,25,1
88,car2,53.3347,53.942,26,1
89,car2,53.3347,53.942,27,1
90,car2,53.3347,53.942,28,1
91,car2,53.3347,53.942,29,1
92,car2,53.3347,53.942,30,1
93,car3,60.1594,45.4938,0,1
94,car3,60.1594,45.4938,1,1
95,car3,60.1594,45.4938,2,1
96,car3,60.1594,45.4938,3,1
97,car3,60.1594,45.4938,4,1
98,car3,60.1594,45.4938,5,1
99,car3,60.1594,45.4938,6,1
100,car3,60.1594,45.4938,7,1
101,car3,60.1594,45.4938,8,1
102,car3,60.1594,45.4938,9,1
103,car3,60.1594,45.4938,10,1
104,car3,60.1594,45.4938,11,1
105,car3,60.1594,45.4938,12,1
106,car3,60.1594,45.4938,13,1
107,car3,60.1594,45.4938,14,1
108,car3,60.1594,45.4938,15,1
109,car3,60.1594,45.4938,16,1
110,car3,60.1594,45.4938,17,1
111,car3,60.1594,45.4938,18,1
112,car3,60.1594,45.4938,19,1
113,car3,60.1594,45.4938,20,1
114,car3,60.1594,45.4938,21,1
115,car3,60.1594,45.4938,22,1
116,car3,60.1594,45.4938,23,1
117,car3,60.1594,45.4938,24,1
118,car3,60.1594,45.4938,25,1
119,car3,60.1594,45.4938,26,1
120,car3,60.1595,45.4938,27,1
121,car3,39.8406,54.5062,28,1
122,car3,39.8406,54.5062,29,1
123,car3,39.8406,54.5062,30,1
124,stations0,39.8406,54.5062,0,5
125,stations0,39.8406,54.5062,1,5
126,stations0,39.8406,54.5062,2,5
127,stations0,39.8406,54.5062,3,5
128,stations0,39.8406,54.5062,4,5
129,stations0,39.8406,54.5062,5,5
130,stations0,39.8406,54.5062,6,5
131,stations0,39.8406,54.5062,7,5
132,stations0,39.8406,54.5062,8,5
133,stations0,39.8406,54.5062,9,5
134,stations0,39.8406,54.5062,10,5
135,stations0,39.8406,54.5062,11,5
136,stations0,39.8406,54.5062,12,5
137,stations0,39.8406,54.5062,13,5
138,stations0,39.8406,54.5062,14,5
139,stations0,39.8406,54.5062,15,5
140,stations0,39.8406,54.5062,16,5
141,stations0,39.8406,54.5062,17,5
142,stations0,39.8406,54.5062,18,5
143,stations0,39.8406,54.5062,19,5
144,stations0,39.8406,54.5062,20,5
145,stations0,39.8406,54.5062,21,5
146,stations0,39.8406,54.5062,22,5
147,stations0,39.8406,54.5062,23,5
148,stations0,39.8406,54.5062,24,5
149,stations0,39.8406,54.5062,25,5
150,stations0,39.8406,54.5062,26,5
151,stations0,39.8406,54.5062,27,5
152,stations0,39.8406,54.5062,28,5
153,stations0,39.8406,54.5062,29,5
154,stations0,39.8406,54.5062,30,5
155,stations1,53.3347,53.942,0,5
156,stations1,53.3347,53.942,1,5
157,stations1,53.3347,53.942,2,5
158,stations1,53.3347,53.942,3,5
159,stations1,53.3347,53.942,4,5
160,stations1,53.3347,53.942,5,5
161,stations1,53.3347,53.942,6,5
162,stations1,53.3347,53.942,7,5
163,stations1,53.3347,53.942,8,5
164,stations1,53.3347,53.942,9,5
165,stations1,53.3347,53.942,10,5
166,stations1,53.3347,53.942,11,5
167,stations1,53.3347,53.942,12,5
168,stations1,53.3347,53.942,13,5
169,stations1,53.3347,53.942,14,5
170,stations1,53.3347,53.942,15,5
171,stations1,53.3347,53.942,16,5
172,stations1,53.3347,53.942,17,5
173,stations1,53.3347,53.942,18,5
174,stations1,53.3347,53.942,19,5
175,stations1,53.3347,53.942,20,5
176,stations1,53.3347,53.942,21,5
177,stations1,53.3347,53.942,22,5
178,stations1,53.3347,53.942,23,5
179,stations1,53.3347,53.942,24,5
180,stations1,53.3347,53.942,25,5
181,stations1,53.3347,53.942,26,5
182,stations1,53.3347,53.942,27,5
183,stations1,53.3347,53.942,28,5
184,stations1,53.3347,53.942,29,5
185,stations1,53.3347,53.942,30,5
186,stations2,60.1594,45.4938,0,5
187,stations2,60.1594,45.4938,1,5
188,stations2,60.1594,45.4938,2,5
189,stations2,60.1594,45.4938,3,5
190,stations2,60.1594,45.4938,4,5
191,stations2,60.1594,45.4938,5,5
192,stations2,60.1594,45.4938,6,5
193,stations2,60.1594,45.4938,7,5
194,stations2,60.1594,45.4938,8,5
195,stations2,60.1594,45.4938,9,5
196,stations2,60.1594,45.4938,10,5
197,stations2,60.1594,45.4938,11,5
198,stations2,60.1594,45.4938,12,5
199,stations2,60.1594,45.4938,13,5
200,stations2,60.1594,45.4938,14,5
201,stations2,60.1594,45.4938,15,5
202,stations2,60.1594,45.4938,16,5
203,stations2,60.1594,45.4938,17,5
204,stations2,60.1594,45.4938,18,5
205,stations2,60.1594,45.4938,19,5
206,stations2,60.1594,45.4938,20,5
207,stations2,60.1594,45.4938,21,5
208,stations2,60.1594,45.4938,22,5
209,stations2,60.1594,45.4938,23,5
210,stations2,60.1594,45.4938,24,5
211,stations2,60.1594,45.4938,25,5
212,stations2,60.1594,45.4938,26,5
213,stations2,60.1594,45.4938,27,5
214,stations2,60.1594,45.4938,28,5
215,stations2,60.1594,45.4938,29,5
216,stations2,60.1594,45.4938,30,5
